		% of divergence bins:
Rclass	Rfam	[0;1[	[1;2[	[2;3[	[3;4[	[4;5[	[5;6[	[6;7[	[7;8[	[8;9[	[9;10[	[10;11[	[11;12[	[12;13[	[13;14[	[14;15[	[15;16[	[16;17[	[17;18[	[18;19[	[19;20[	[20;21[	[21;22[	[22;23[	[23;24[	[24;25[	[25;26[	[26;27[	[27;28[	[28;29[	[29;30[	[30;31[	[31;32[	[32;33[	[33;34[	[34;35[	[35;36[	[36;37[	[37;38[	[38;39[	[39;40[	[40;41[	[41;42[	[42;43[	[43;44[	[44;45[	[45;46[	[46;47[	[47;48[	[48;49[	[49;50[
LINE	R2-Hero	0	0	77	0	0	0	131	162	520	1180	1117	1662	4588	5215	6800	5483	7941	4755	7093	6369	4340	3159	2385	586	522	739	82	246	29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	CR1-Zenon	478	1236	1975	10750	21136	36889	28776	19743	21335	30536	28143	29409	18873	24202	24166	22564	13691	17214	13549	11636	6746	13904	5365	5478	4725	3115	2114	2113	2519	1352	1850	434	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	RTE-X	46975	48873	21292	32184	78996	62413	60076	53047	53553	34039	29203	22620	19712	18266	13121	13447	19779	12811	16122	15903	15202	10207	10273	7497	6267	3796	3223	1829	866	2595	2580	2749	4468	2257	912	276	0	89	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Academ	2559	5171	26723	119684	190225	216569	221394	200096	171549	159828	150196	128301	105448	83471	69070	50963	49235	38076	40140	38718	38457	44441	38528	32096	24389	27980	16986	18875	14327	12868	13869	15998	12899	14126	14930	11143	2419	1280	193	0	0	0	0	0	0	0	0	0	0	0
DNA	CMC-EnSpm	2031	4630	15388	34466	40843	56181	66892	91511	91084	56017	39738	44049	42204	49398	45829	40716	37558	37840	37118	34677	36832	39225	36104	36433	44064	45894	41729	38428	28862	26250	16518	13753	5375	3638	2870	786	225	207	20	0	0	0	0	0	0	0	0	0	0	0
DNA	PIF-Harbinger	112	1995	2170	32	6293	2011	5939	5631	7626	7354	2648	2657	5463	3806	2247	3562	7622	8414	4790	5499	5717	4341	4224	4413	5343	2649	2438	2877	2106	1628	1138	217	431	1072	821	366	252	277	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Kolobok-Hydra	0	0	0	0	0	0	0	0	0	17703	1511	552	406	4660	5348	8052	5357	8949	5528	14972	10713	13117	15957	7405	13048	16842	22745	27476	16309	17014	6692	4730	1269	2124	0	465	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	L1-DRE	0	0	585	2438	5658	13391	5586	12141	5035	5098	1693	2184	697	1399	1927	743	1921	1794	2360	2579	1596	1516	2835	760	801	156	887	221	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	DNA	265958	335728	963912	1513624	1938848	2703795	3493066	4091137	4287821	4405700	4357488	4222557	3987368	3775531	3568349	3365325	3172200	2945399	2634119	2284150	1959728	1601819	1230862	938177	687359	549992	390476	291347	203446	127006	89544	65283	37415	25885	10978	4608	2900	1633	153	0	0	0	0	0	0	0	0	0	0	0
DNA	P	465	1243	6452	23933	25352	41823	59579	58702	46848	26574	15619	11014	6019	3624	2369	1335	1482	1671	706	1017	205	500	342	2787	2676	679	2482	1802	1121	0	570	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Sola	262	5956	20287	94801	112050	116490	113678	54751	29740	12273	9703	3298	4689	4280	3831	4985	5011	9017	6788	5001	5654	5267	4314	3674	656	1438	1526	1806	1824	769	1158	914	603	1249	612	0	162	162	0	0	0	0	0	0	0	0	0	0	0	0
LINE?	Penelope	0	0	0	157	252	938	454	0	0	0	39	192	121	0	118	155	0	0	383	604	1179	524	377	413	1032	0	360	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	LINE	69154	255962	410405	646664	757224	809480	904686	954496	1060076	950258	868982	879452	904724	940898	866569	886912	808282	702377	594332	473664	383899	293447	235922	184987	150229	121315	87669	61740	50134	31840	26242	23336	17797	16021	4924	1587	1367	391	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Academ-1	255	551	691	2858	8320	19645	24224	27246	32668	32302	27325	34132	34187	41547	46255	48463	39137	29914	31493	24406	20045	15118	11374	8898	7839	6948	5648	3637	1751	1003	700	352	797	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	Sola-1	238	0	665	60	0	0	243	1806	16289	3589	1055	1408	10597	6878	3935	1884	4357	1724	8028	5573	3978	8407	2671	969	2409	992	1040	1743	4126	4348	10323	13947	6574	2467	928	1463	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Unknown	Unknown	8459	20430	66608	149590	248880	485415	613095	541852	453885	401386	413416	384396	434054	481778	458711	443977	436382	396828	356851	303682	272901	219310	181832	133199	96999	80499	47485	27897	25317	11326	12303	7831	6550	3229	2848	219	176	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Ngaro	0	750	4904	12685	25896	54553	57764	47736	46029	47006	29009	26672	33220	28516	32784	32018	36091	30540	33133	25687	22604	13528	25848	26285	12357	12128	15017	9685	14767	18212	28118	19977	23151	13237	10729	2165	1539	63	0	692	0	0	0	0	0	0	0	0	0	0
LINE	Proto2	5184	41669	137061	152223	157961	166337	161872	180620	185853	197526	207478	166689	163849	115407	111145	79265	75678	63746	72345	55151	54963	45016	36262	29379	29362	26676	22997	23810	31780	26208	25146	18735	15449	5939	1985	1287	553	0	66	0	0	0	0	0	0	0	0	0	0	0
LTR	ERV1	0	0	83	122	619	693	1128	3635	8528	10318	17202	20237	20488	23725	22248	15437	20954	16152	14406	12616	12234	9995	4169	3316	1678	1985	1515	188	148	202	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RC	Helitron	1490	12092	29760	24472	14633	10805	9777	11435	15152	21649	29859	34469	40498	33300	34884	37706	39677	36138	26099	25432	24130	19534	14662	11766	9765	13532	12758	8344	3645	1372	1546	985	380	103	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	DIRS	64	88	1449	2514	3909	5045	5654	2761	7706	8707	4781	7095	10422	16426	19778	20992	26727	42860	25865	24979	14719	13708	6650	5188	4330	2457	1633	2737	2765	983	1106	583	259	153	780	906	0	0	0	0	0	0	0	0	0	0	0	0	0	0
LTR	Pao	365	4472	15332	31126	9095	9417	11620	20882	15734	14739	17634	22818	14410	12110	12149	9414	7608	5380	7427	8052	6709	3393	3905	5031	3999	2432	1289	1984	816	825	243	2317	1884	1945	4790	1216	3152	0	0	0	0	0	0	0	0	0	0	0	0	0
LINE	I-Jockey	136	0	186	115	0	128	264	150	336	512	612	1809	2002	5224	4799	6965	10793	12299	15212	14713	22499	19577	19696	22228	20375	18813	20763	15403	16375	12554	9756	5198	3750	1776	2200	806	414	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	IS3EU	132	88	4491	9936	6525	3823	7998	8398	5034	2309	2359	1027	831	1238	1443	1519	2047	1590	2913	2131	2698	3375	1752	1133	991	902	363	66	150	171	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	tRNA-Meta	0	0	0	62	46	230	0	415	109	210	1224	612	1330	1193	2176	2716	3022	4043	4456	3727	4870	3936	3059	2350	2285	1761	1168	855	637	370	298	438	226	0	121	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT-Charlie	1565	2228	5449	13561	36468	58391	115636	182727	144902	123942	126969	149234	147642	108173	99568	94121	69834	44548	34146	32105	20834	18890	20614	22863	12617	10808	7850	4734	3144	2771	1163	407	1088	153	0	686	0	0	0	0	0	0	0	0	0	0	0	0	0	0
SINE	ID	413	818	925	1247	3893	6125	10413	22374	21100	23867	12248	6648	8214	3772	4532	2921	1445	1870	1862	1706	359	659	1595	900	423	302	287	61	221	177	87	0	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	TcMar-Tc2	631	664	6989	36805	66855	31470	31724	22879	24672	19687	20123	13207	17612	20237	17718	13216	7483	6078	5853	3050	3248	2450	2300	2331	1170	727	320	270	428	227	107	104	79	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
DNA	hAT-Ac	9891	41113	119062	229043	154624	125778	181507	210831	223439	201354	224194	206522	203273	218851	203612	173565	167859	137624	121042	89123	72979	48520	38061	27000	15950	14663	7930	10682	11845	10709	9120	7657	5013	2119	607	310	0	0	0	0	0	0	0	0	0	0	0	0	0	0
