CTE|ELT86964.1	K05030
CTE|ELT87506.1	K01136
CTE|ELT87507.1	K10590
CTE|ELT87508.1	K17693
CTE|ELT87509.1	K00111
CTE|ELT87510.1	K17659
CTE|ELT87514.1	K16310
CTE|ELT87519.1	K17426
CTE|ELT87522.1	K16499
CTE|ELT87523.1	K06560
CTE|ELT87525.1	K06560
CTE|ELT87527.1	K11254
CTE|ELT87534.1	K22190
CTE|ELT87535.1	K01025
CTE|ELT87536.1	K17382
CTE|ELT87540.1	K01796
CTE|ELT87541.1	K05693
CTE|ELT87547.1	K00907
CTE|ELT87550.1	K02183
CTE|ELT87551.1	K12319
CTE|ELT87556.1	K06664
CTE|ELT87557.1	K13728
CTE|ELT87559.1	K02599
CTE|ELT87560.1	K02599
CTE|ELT87562.1	K22128
CTE|ELT87565.1	K17341
CTE|ELT87566.1	K18808
CTE|ELT87567.1	K21624
CTE|ELT87569.1	K18808
CTE|ELT87570.1	K04969
CTE|ELT87571.1	K14689
CTE|ELT87574.1	K09873
CTE|ELT87577.1	K10330
CTE|ELT87579.1	K00753
CTE|ELT87580.1	K12301
CTE|ELT87583.1	K05357
CTE|ELT87584.1	K13988
CTE|ELT87586.1	K05330
CTE|ELT87588.1	K05330
CTE|ELT87589.1	K05330
CTE|ELT87595.1	K15078
CTE|ELT87596.1	K10402
CTE|ELT87602.1	K12620
CTE|ELT87603.1	K18932
CTE|ELT87604.1	K00306
CTE|ELT87605.1	K20799
CTE|ELT87607.1	K15340
CTE|ELT87608.1	K17408
CTE|ELT87609.1	K14568
CTE|ELT87610.1	K16273
CTE|ELT87611.1	K14855
CTE|ELT87613.1	K17495
CTE|ELT87615.1	K17346
CTE|ELT87616.1	K00819
CTE|ELT87617.1	K08497
CTE|ELT87619.1	K09498
CTE|ELT87622.1	K10341
CTE|ELT87630.1	K04648
CTE|ELT87631.1	K04648
CTE|ELT87633.1	K07752
CTE|ELT87635.1	K09309
CTE|ELT87636.1	K09309
CTE|ELT87638.1	K11517
CTE|ELT87639.1	K14388
CTE|ELT87643.1	K06491
CTE|ELT87644.1	K20872
CTE|ELT87645.1	K20872
CTE|ELT87653.1	K18808
CTE|ELT87655.1	K10270
CTE|ELT87656.1	K01052
CTE|ELT87657.1	K02091
CTE|ELT87658.1	K03347
CTE|ELT87663.1	K20360
CTE|ELT87664.1	K14286
CTE|ELT87666.1	K10408
CTE|ELT87667.1	K17548
CTE|ELT87671.1	K10436
CTE|ELT87672.1	K07870
CTE|ELT87678.1	K00164
CTE|ELT87680.1	K17341
CTE|ELT87681.1	K01558
CTE|ELT87682.1	K02138
CTE|ELT87683.1	K08848
CTE|ELT87685.1	K10479
CTE|ELT87686.1	K01875
CTE|ELT87688.1	K02186
CTE|ELT87693.1	K09604
CTE|ELT87695.1	K09228
CTE|ELT87700.1	K16075
CTE|ELT87705.1	K09208
CTE|ELT87718.1	K14445
CTE|ELT87722.1	K19868
CTE|ELT87725.1	K06560
CTE|ELT87728.1	K04615
CTE|ELT87730.1	K16608
CTE|ELT87732.1	K09228
CTE|ELT87737.1	K01176
CTE|ELT87738.1	K04615
CTE|ELT87741.1	K03462
CTE|ELT87742.1	K06975
CTE|ELT87743.1	K14684
CTE|ELT87744.1	K14684
CTE|ELT87746.1	K21625
CTE|ELT87747.1	K01900
CTE|ELT87749.1	K01254
CTE|ELT87753.1	K01176
CTE|ELT87754.1	K16659
CTE|ELT87755.1	K02607
CTE|ELT87756.1	K21916
CTE|ELT87758.1	K04571
CTE|ELT87760.1	K21912
CTE|ELT87766.1	K04605
CTE|ELT87767.1	K00512
CTE|ELT87768.1	K05312
CTE|ELT87769.1	K04929
CTE|ELT87770.1	K05312
CTE|ELT87771.1	K09250
CTE|ELT87777.1	K10444
CTE|ELT87778.1	K18398
CTE|ELT87786.1	K01024
CTE|ELT87788.1	K22721
CTE|ELT87789.1	K15261
CTE|ELT87794.1	K18066
CTE|ELT87798.1	K04217
CTE|ELT87803.1	K14458
CTE|ELT87806.1	K11840
CTE|ELT87807.1	K11840
CTE|ELT87808.1	K10578
CTE|ELT87809.1	K17572
CTE|ELT87811.1	K09280
CTE|ELT87813.1	K02960
CTE|ELT87818.1	K19873
CTE|ELT87821.1	K13273
CTE|ELT87824.1	K01011
CTE|ELT87826.1	K15424
CTE|ELT87828.1	K04814
CTE|ELT87837.1	K14303
CTE|ELT87838.1	K15135
CTE|ELT87839.1	K00365
CTE|ELT87841.1	K05658
CTE|ELT87845.1	K00923
CTE|ELT87847.1	K01593
CTE|ELT87848.1	K14311
CTE|ELT87864.1	K21988
CTE|ELT87868.1	K09276
CTE|ELT87875.1	K04615
CTE|ELT87876.1	K14388
CTE|ELT87878.1	K12323
CTE|ELT87881.1	K19521
CTE|ELT87884.1	K10447
CTE|ELT87889.1	K03946
CTE|ELT87890.1	K08869
CTE|ELT87896.1	K05038
CTE|ELT87897.1	K01444
CTE|ELT87903.1	K12195
CTE|ELT87904.1	K09869
CTE|ELT87905.1	K03377
CTE|ELT87912.1	K14684
CTE|ELT87914.1	K09867
CTE|ELT87917.1	K04221
CTE|ELT87922.1	K10451
CTE|ELT87925.1	K06279
CTE|ELT87926.1	K17335
CTE|ELT87927.1	K15280
CTE|ELT87928.1	K00254
CTE|ELT87929.1	K11653
CTE|ELT87930.1	K01672
CTE|ELT87938.1	K11430
CTE|ELT87939.1	K14565
CTE|ELT87941.1	K04699
CTE|ELT87942.1	K00274
CTE|ELT87943.1	K20284
CTE|ELT87948.1	K12472
CTE|ELT87949.1	K05768
CTE|ELT87952.1	K11141
CTE|ELT87955.1	K20225
CTE|ELT87956.1	K20225
CTE|ELT87957.1	K13431
CTE|ELT87958.1	K02997
CTE|ELT87960.1	K02427
CTE|ELT87966.1	K04257
CTE|ELT87969.1	K07374
CTE|ELT87970.1	K00797
CTE|ELT87971.1	K08801
CTE|ELT87972.1	K08801
CTE|ELT87974.1	K22371
CTE|ELT87978.1	K20365
CTE|ELT87979.1	K08428
CTE|ELT87992.1	K13289
CTE|ELT87993.1	K07304
CTE|ELT87994.1	K15503
CTE|ELT87998.1	K01136
CTE|ELT87999.1	K14386
CTE|ELT88000.1	K22756
CTE|ELT88001.1	K03849
CTE|ELT88002.1	K08765
CTE|ELT88003.1	K16779
CTE|ELT88004.1	K09494
CTE|ELT88005.1	K12617
CTE|ELT88006.1	K09519
CTE|ELT88009.1	K12199
CTE|ELT88010.1	K10203
CTE|ELT88011.1	K10203
CTE|ELT88013.1	K00228
CTE|ELT88014.1	K09067
CTE|ELT88015.1	K18663
CTE|ELT88016.1	K11843
CTE|ELT88019.1	K15015
CTE|ELT88021.1	K03250
CTE|ELT88022.1	K12387
CTE|ELT88025.1	K15266
CTE|ELT88031.1	K20100
CTE|ELT88034.1	K09397
CTE|ELT88036.1	K07424
CTE|ELT88037.1	K10278
CTE|ELT88038.1	K15528
CTE|ELT88040.1	K00611
CTE|ELT88042.1	K04808
CTE|ELT88044.1	K16466
CTE|ELT88047.1	K17888
CTE|ELT88052.1	K00901
CTE|ELT88053.1	K19619
CTE|ELT88055.1	K00512
CTE|ELT88058.1	K01676
CTE|ELT88059.1	K18493
CTE|ELT88060.1	K18584
CTE|ELT88063.1	K13710
CTE|ELT88073.1	K02183
CTE|ELT88074.1	K11437
CTE|ELT88078.1	K10798
CTE|ELT88082.1	K22909
CTE|ELT88090.1	K16571
CTE|ELT88092.1	K09250
CTE|ELT88093.1	K01017
CTE|ELT88095.1	K14401
CTE|ELT88100.1	K20294
CTE|ELT88101.1	K10444
CTE|ELT88103.1	K14386
CTE|ELT88104.1	K04972
CTE|ELT88107.1	K14387
CTE|ELT88112.1	K00486
CTE|ELT88113.1	K12626
CTE|ELT88116.1	K10357
CTE|ELT88117.1	K11644
CTE|ELT88119.1	K01835
CTE|ELT88120.1	K13236
CTE|ELT88121.1	K05747
CTE|ELT88123.1	K22557
CTE|ELT88124.1	K04716
CTE|ELT88129.1	K03680
CTE|ELT88130.1	K02880
CTE|ELT88131.1	K05765
CTE|ELT88134.1	K15014
CTE|ELT88135.1	K14546
CTE|ELT88139.1	K11655
CTE|ELT88150.1	K16765
CTE|ELT88152.1	K16537
CTE|ELT88154.1	K14307
CTE|ELT88155.1	K09428
CTE|ELT88157.1	K14856
CTE|ELT88160.1	K10470
CTE|ELT88167.1	K06271
CTE|ELT88168.1	K16498
CTE|ELT88169.1	K01832
CTE|ELT88171.1	K01832
CTE|ELT88173.1	K11113
CTE|ELT88174.1	K10807
CTE|ELT88175.1	K07197
CTE|ELT88176.1	K14381
CTE|ELT88177.1	K11316
CTE|ELT88179.1	K19947
CTE|ELT88180.1	K19947
CTE|ELT88183.1	K10442
CTE|ELT88186.1	K00710
CTE|ELT88194.1	K10470
CTE|ELT88197.1	K16498
CTE|ELT88198.1	K08366
CTE|ELT88200.1	K16498
CTE|ELT88202.1	K15200
CTE|ELT88203.1	K01892
CTE|ELT88204.1	K03846
CTE|ELT88205.1	K10457
CTE|ELT88209.1	K01672
CTE|ELT88210.1	K04265
CTE|ELT88212.1	K09291
CTE|ELT88215.1	K10627
CTE|ELT88217.1	K01712
CTE|ELT88225.1	K08106
CTE|ELT88235.1	K00078
CTE|ELT88242.1	K00933
CTE|ELT88246.1	K01136
CTE|ELT88255.1	K14938
CTE|ELT88258.1	K08342
CTE|ELT88262.1	K03130
CTE|ELT88263.1	K14206
CTE|ELT88267.1	K09276
CTE|ELT88269.1	K00718
CTE|ELT88272.1	K11251
CTE|ELT88273.1	K11253
CTE|ELT88274.1	K17606
CTE|ELT88278.1	K10355
CTE|ELT88280.1	K02599
CTE|ELT88281.1	K02599
CTE|ELT88282.1	K04550
CTE|ELT88289.1	K11420
CTE|ELT88290.1	K11420
CTE|ELT88291.1	K12350
CTE|ELT88295.1	K01206
CTE|ELT88307.1	K19269
CTE|ELT88313.1	K14537
CTE|ELT88314.1	K00791
CTE|ELT88315.1	K04377
CTE|ELT88323.1	K06107
CTE|ELT88325.1	K10878
CTE|ELT88335.1	K16681
CTE|ELT88339.1	K04604
CTE|ELT88342.1	K22400
CTE|ELT88344.1	K22792
CTE|ELT88345.1	K22792
CTE|ELT88350.1	K02888
CTE|ELT88355.1	K05126
CTE|ELT88356.1	K05126
CTE|ELT88361.1	K21442
CTE|ELT88364.1	K05860
CTE|ELT88365.1	K05860
CTE|ELT88368.1	K04251
CTE|ELT88372.1	K07754
CTE|ELT88373.1	K13506
CTE|ELT88375.1	K08106
CTE|ELT88376.1	K08106
CTE|ELT88378.1	K18932
CTE|ELT88380.1	K12301
CTE|ELT88385.1	K04150
CTE|ELT88390.1	K10871
CTE|ELT88394.1	K22380
CTE|ELT88397.1	K00485
CTE|ELT88401.1	K12319
CTE|ELT88403.1	K02183
CTE|ELT88406.1	K19511
CTE|ELT88409.1	K06111
CTE|ELT88410.1	K01255
CTE|ELT88412.1	K02599
CTE|ELT88415.1	K08052
CTE|ELT88416.1	K14445
CTE|ELT88417.1	K14445
CTE|ELT88420.1	K17341
CTE|ELT88425.1	K17425
CTE|ELT88427.1	K11428
CTE|ELT88429.1	K20173
CTE|ELT88430.1	K20347
CTE|ELT88431.1	K18628
CTE|ELT88432.1	K15100
CTE|ELT88434.1	K09272
CTE|ELT88437.1	K13098
CTE|ELT88440.1	K10879
CTE|ELT88445.1	K00030
CTE|ELT88451.1	K08212
CTE|ELT88455.1	K14800
CTE|ELT88460.1	K17822
CTE|ELT88463.1	K04870
CTE|ELT88464.1	K18309
CTE|ELT88465.1	K21912
CTE|ELT88466.1	K00512
CTE|ELT88468.1	K04659
CTE|ELT88469.1	K04659
CTE|ELT88470.1	K04659
CTE|ELT88472.1	K14709
CTE|ELT88473.1	K14709
CTE|ELT88475.1	K03627
CTE|ELT88477.1	K10175
CTE|ELT88479.1	K19525
CTE|ELT88480.1	K05120
CTE|ELT88481.1	K10406
CTE|ELT88482.1	K10406
CTE|ELT88486.1	K11254
CTE|ELT88487.1	K11251
CTE|ELT88488.1	K10624
CTE|ELT88492.1	K17540
CTE|ELT88494.1	K06560
CTE|ELT88495.1	K10461
CTE|ELT88513.1	K10450
CTE|ELT88514.1	K00742
CTE|ELT88523.1	K03357
CTE|ELT88527.1	K04975
CTE|ELT88533.1	K04231
CTE|ELT88534.1	K06756
CTE|ELT88536.1	K06756
CTE|ELT88539.1	K22614
CTE|ELT88541.1	K10703
CTE|ELT88543.1	K00734
CTE|ELT88548.1	K04270
CTE|ELT88551.1	K04887
CTE|ELT88552.1	K02541
CTE|ELT88553.1	K15323
CTE|ELT88556.1	K10858
CTE|ELT88557.1	K10858
CTE|ELT88558.1	K12323
CTE|ELT88560.1	K14354
CTE|ELT88562.1	K01017
CTE|ELT88564.1	K19934
CTE|ELT88565.1	K06158
CTE|ELT88566.1	K11643
CTE|ELT88567.1	K14435
CTE|ELT88568.1	K02923
CTE|ELT88572.1	K13354
CTE|ELT88573.1	K20179
CTE|ELT88575.1	K10391
CTE|ELT88577.1	K07375
CTE|ELT88578.1	K07375
CTE|ELT88580.1	K10391
CTE|ELT88583.1	K04988
CTE|ELT88585.1	K22420
CTE|ELT88587.1	K06094
CTE|ELT88588.1	K11505
CTE|ELT88589.1	K12757
CTE|ELT88594.1	K04209
CTE|ELT88596.1	K21912
CTE|ELT88598.1	K04269
CTE|ELT88599.1	K04216
CTE|ELT88602.1	K07249
CTE|ELT88607.1	K18066
CTE|ELT88614.1	K13151
CTE|ELT88615.1	K10310
CTE|ELT88619.1	K17341
CTE|ELT88623.1	K07846
CTE|ELT88627.1	K11155
CTE|ELT88631.1	K13696
CTE|ELT88638.1	K09319
CTE|ELT88639.1	K09319
CTE|ELT88642.1	K07809
CTE|ELT88649.1	K10592
CTE|ELT88652.1	K22563
CTE|ELT88656.1	K05030
CTE|ELT88658.1	K03857
CTE|ELT88659.1	K22455
CTE|ELT88664.1	K00512
CTE|ELT88666.1	K17495
CTE|ELT88667.1	K04955
CTE|ELT88668.1	K08803
CTE|ELT88670.1	K10703
CTE|ELT88671.1	K08803
CTE|ELT88672.1	K08803
CTE|ELT88673.1	K15381
CTE|ELT88674.1	K04453
CTE|ELT88675.1	K17655
CTE|ELT88678.1	K00718
CTE|ELT88683.1	K08658
CTE|ELT88684.1	K19326
CTE|ELT88687.1	K19326
CTE|ELT88688.1	K17889
CTE|ELT88689.1	K00734
CTE|ELT88690.1	K00734
CTE|ELT88693.1	K08744
CTE|ELT88694.1	K06637
CTE|ELT88696.1	K06637
CTE|ELT88697.1	K02963
CTE|ELT88698.1	K19757
CTE|ELT88701.1	K21843
CTE|ELT88703.1	K02183
CTE|ELT88705.1	K07943
CTE|ELT88706.1	K19532
CTE|ELT88709.1	K14379
CTE|ELT88710.1	K11157
CTE|ELT88711.1	K14165
CTE|ELT88713.1	K04437
CTE|ELT88714.1	K04437
CTE|ELT88715.1	K05312
CTE|ELT88716.1	K11810
CTE|ELT88718.1	K00461
CTE|ELT88719.1	K02105
CTE|ELT88722.1	K17495
CTE|ELT88724.1	K20300
CTE|ELT88727.1	K09680
CTE|ELT88728.1	K16468
CTE|ELT88733.1	K09481
CTE|ELT88736.1	K08414
CTE|ELT88744.1	K11406
CTE|ELT88747.1	K22190
CTE|ELT88748.1	K01336
CTE|ELT88752.1	K11810
CTE|ELT88759.1	K13339
CTE|ELT88768.1	K00753
CTE|ELT88769.1	K10464
CTE|ELT88772.1	K01121
CTE|ELT88774.1	K09036
CTE|ELT88779.1	K07964
CTE|ELT88781.1	K04282
CTE|ELT88784.1	K00128
CTE|ELT88787.1	K04170
CTE|ELT88792.1	K15280
CTE|ELT88793.1	K09228
CTE|ELT88796.1	K03424
CTE|ELT88800.1	K09228
CTE|ELT88801.1	K13985
CTE|ELT88802.1	K17732
CTE|ELT88803.1	K22182
CTE|ELT88806.1	K22872
CTE|ELT88812.1	K06233
CTE|ELT88813.1	K10462
CTE|ELT88815.1	K19970
CTE|ELT88816.1	K06943
CTE|ELT88821.1	K00569
CTE|ELT88824.1	K10435
CTE|ELT88825.1	K11487
CTE|ELT88826.1	K10626
CTE|ELT88827.1	K10626
CTE|ELT88828.1	K12663
CTE|ELT88830.1	K12663
CTE|ELT88831.1	K09399
CTE|ELT88834.1	K02737
CTE|ELT88838.1	K02919
CTE|ELT88839.1	K11723
CTE|ELT88840.1	K22184
CTE|ELT88842.1	K20493
CTE|ELT88845.1	K14548
CTE|ELT88846.1	K04134
CTE|ELT88852.1	K04204
CTE|ELT88857.1	K22037
CTE|ELT88867.1	K20471
CTE|ELT88871.1	K12661
CTE|ELT88872.1	K00232
CTE|ELT88873.1	K15115
CTE|ELT88874.1	K02144
CTE|ELT88875.1	K01228
CTE|ELT88876.1	K15559
CTE|ELT88878.1	K12857
CTE|ELT88879.1	K10532
CTE|ELT88886.1	K17095
CTE|ELT88888.1	K15033
CTE|ELT88913.1	K01634
CTE|ELT88915.1	K14775
CTE|ELT88917.1	K12304
CTE|ELT88922.1	K01022
CTE|ELT88926.1	K05683
CTE|ELT88927.1	K01298
CTE|ELT88928.1	K21890
CTE|ELT88929.1	K01681
CTE|ELT88930.1	K00710
CTE|ELT88931.1	K10266
CTE|ELT88935.1	K05313
CTE|ELT88944.1	K09276
CTE|ELT88946.1	K20030
CTE|ELT88947.1	K11765
CTE|ELT88948.1	K10457
CTE|ELT88951.1	K00010
CTE|ELT88952.1	K18953
CTE|ELT88953.1	K04282
CTE|ELT88954.1	K04266
CTE|ELT88955.1	K03676
CTE|ELT88956.1	K04734
CTE|ELT88957.1	K07819
CTE|ELT88971.1	K21912
CTE|ELT88978.1	K04565
CTE|ELT88979.1	K12624
CTE|ELT88985.1	K14616
CTE|ELT88986.1	K21108
CTE|ELT88987.1	K15789
CTE|ELT88988.1	K12396
CTE|ELT88993.1	K04418
CTE|ELT88996.1	K07883
CTE|ELT88998.1	K17866
CTE|ELT89000.1	K01758
CTE|ELT89001.1	K06674
CTE|ELT89003.1	K03654
CTE|ELT89004.1	K01365
CTE|ELT89006.1	K14611
CTE|ELT89011.1	K06820
CTE|ELT89012.1	K20526
CTE|ELT89014.1	K00451
CTE|ELT89015.1	K04426
CTE|ELT89017.1	K10612
CTE|ELT89018.1	K20133
CTE|ELT89020.1	K05970
CTE|ELT89022.1	K19021
CTE|ELT89023.1	K10688
CTE|ELT89026.1	K19021
CTE|ELT89030.1	K01769
CTE|ELT89032.1	K06083
CTE|ELT89039.1	K08033
CTE|ELT89042.1	K22400
CTE|ELT89045.1	K01823
CTE|ELT89046.1	K10162
CTE|ELT89049.1	K11600
CTE|ELT89050.1	K05762
CTE|ELT89051.1	K04745
CTE|ELT89055.1	K20051
CTE|ELT89057.1	K21027
CTE|ELT89060.1	K03327
CTE|ELT89061.1	K02206
CTE|ELT89062.1	K03327
CTE|ELT89063.1	K21912
CTE|ELT89070.1	K04829
CTE|ELT89071.1	K06085
CTE|ELT89072.1	K14572
CTE|ELT89074.1	K14572
CTE|ELT89079.1	K10408
CTE|ELT89085.1	K03238
CTE|ELT89086.1	K22447
CTE|ELT89087.1	K01530
CTE|ELT89094.1	K13203
CTE|ELT89097.1	K04986
CTE|ELT89098.1	K04986
CTE|ELT89100.1	K05195
CTE|ELT89101.1	K08805
CTE|ELT89109.1	K04144
CTE|ELT89114.1	K13355
CTE|ELT89115.1	K17599
CTE|ELT89123.1	K00693
CTE|ELT89126.1	K05039
CTE|ELT89127.1	K01530
CTE|ELT89128.1	K13109
CTE|ELT89129.1	K06267
CTE|ELT89131.1	K02910
CTE|ELT89135.1	K16589
CTE|ELT89137.1	K12886
CTE|ELT89138.1	K19026
CTE|ELT89141.1	K01136
CTE|ELT89142.1	K02959
CTE|ELT89143.1	K09650
CTE|ELT89144.1	K08175
CTE|ELT89145.1	K14709
CTE|ELT89148.1	K11339
CTE|ELT89149.1	K00710
CTE|ELT89154.1	K06252
CTE|ELT89155.1	K03193
CTE|ELT89156.1	K16681
CTE|ELT89158.1	K12349
CTE|ELT89160.1	K08547
CTE|ELT89162.1	K17941
CTE|ELT89165.1	K22900
CTE|ELT89167.1	K00021
CTE|ELT89169.1	K08546
CTE|ELT89176.1	K19904
CTE|ELT89179.1	K04634
CTE|ELT89180.1	K02186
CTE|ELT89181.1	K06560
CTE|ELT89185.1	K11413
CTE|ELT89195.1	K16061
CTE|ELT89198.1	K17543
CTE|ELT89200.1	K17563
CTE|ELT89203.1	K01206
CTE|ELT89209.1	K00901
CTE|ELT89211.1	K12323
CTE|ELT89212.1	K12323
CTE|ELT89215.1	K14388
CTE|ELT89217.1	K14616
CTE|ELT89222.1	K10443
CTE|ELT89226.1	K10443
CTE|ELT89228.1	K13026
CTE|ELT89229.1	K13026
CTE|ELT89235.1	K20032
CTE|ELT89240.1	K12311
CTE|ELT89248.1	K02087
CTE|ELT89251.1	K00565
CTE|ELT89253.1	K12589
CTE|ELT89254.1	K20029
CTE|ELT89255.1	K00413
CTE|ELT89256.1	K10277
CTE|ELT89257.1	K20880
CTE|ELT89259.1	K20221
CTE|ELT89264.1	K11810
CTE|ELT89268.1	K12179
CTE|ELT89270.1	K22721
CTE|ELT89271.1	K10532
CTE|ELT89272.1	K06491
CTE|ELT89273.1	K17548
CTE|ELT89282.1	K10451
CTE|ELT89285.1	K17307
CTE|ELT89287.1	K04170
CTE|ELT89294.1	K01510
CTE|ELT89296.1	K19327
CTE|ELT89297.1	K03020
CTE|ELT89300.1	K06678
CTE|ELT89301.1	K01692
CTE|ELT89302.1	K10761
CTE|ELT89303.1	K16685
CTE|ELT89305.1	K12384
CTE|ELT89306.1	K10587
CTE|ELT89307.1	K15683
CTE|ELT89308.1	K00214
CTE|ELT89315.1	K14616
CTE|ELT89316.1	K12563
CTE|ELT89317.1	K05194
CTE|ELT89318.1	K05194
CTE|ELT89320.1	K03327
CTE|ELT89322.1	K05673
CTE|ELT89323.1	K04967
CTE|ELT89329.1	K05194
CTE|ELT89334.1	K08775
CTE|ELT89335.1	K08775
CTE|ELT89337.1	K08775
CTE|ELT89339.1	K14210
CTE|ELT89340.1	K08105
CTE|ELT89341.1	K12200
CTE|ELT89344.1	K15159
CTE|ELT89353.1	K07523
CTE|ELT89360.1	K11266
