Sequence ID	Panther ID
OG0000125_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_005435-T1	PTHR24115
OG0000126_DMEL_Drosophila_melanogaster_DME_NP_001162662.1	PTHR11267
OG0000126_HSAP_Homo_sapiens_HSA_NP_000183.2	PTHR11267
OG0000126_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000239-T1	PTHR11267
OG0000130_DMEL_Drosophila_melanogaster_DME_NP_001285245.1	PTHR23507
OG0000130_HSAP_Homo_sapiens_HSA_NP_001129391.1	PTHR23507
OG0000130_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_010427-T1	PTHR23507
OG0000131_DMEL_Drosophila_melanogaster_DME_NP_001033835.2	PTHR23122
OG0000131_HSAP_Homo_sapiens_HSA_NP_001119526.1	PTHR23122
OG0000131_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000380-T1	PTHR23122
OG0000132_DMEL_Drosophila_melanogaster_DME_NP_001137830.2	PTHR10117
OG0000132_HSAP_Homo_sapiens_HSA_NP_001124170.1	PTHR10117
OG0000132_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_006795-T1	PTHR10117
OG0000135_DMEL_Drosophila_melanogaster_DME_NP_001163633.1	PTHR11475
OG0000135_HSAP_Homo_sapiens_HSA_NP_000241.1	PTHR11475
OG0000135_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_022212-T1	PTHR11475
OG0000137_HSAP_Homo_sapiens_HSA_NP_001307373.1	PTHR10656
OG0000137_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_002624-T1	PTHR10656
OG0000139_DMEL_Drosophila_melanogaster_DME_NP_001163781.1	PTHR13802
OG0000139_HSAP_Homo_sapiens_HSA_NP_001073906.1	PTHR24033
OG0000139_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000265-T1	PTHR13802
OG0000145_DMEL_Drosophila_melanogaster_DME_NP_001162773.1	PTHR42884
OG0000145_HSAP_Homo_sapiens_HSA_NP_000430.3	PTHR42884
OG0000145_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_001092-T1	PTHR42884
OG0000148_DMEL_Drosophila_melanogaster_DME_NP_611337.2	PTHR19871
OG0000148_HSAP_Homo_sapiens_HSA_NP_001007526.3	PTHR45013
OG0000148_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_001229-T1	PTHR19871
OG0000157_DMEL_Drosophila_melanogaster_DME_NP_001027285.1	PTHR11426
OG0000157_HSAP_Homo_sapiens_HSA_NP_001005464.1	PTHR11426
OG0000157_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000001-T1	PTHR11426
OG0000165_DMEL_Drosophila_melanogaster_DME_NP_001163058.1	PTHR24208
OG0000165_HSAP_Homo_sapiens_HSA_NP_001001933.1	PTHR24208
OG0000165_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_023563-T1	PTHR24208
OG0000167_HSAP_Homo_sapiens_HSA_NP_001273965.1	PTHR46963
OG0000170_DMEL_Drosophila_melanogaster_DME_NP_001247149.1	PTHR45774
OG0000170_HSAP_Homo_sapiens_HSA_NP_001011885.1	PTHR45774
OG0000170_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_015611-T1	PTHR45774
OG0000172_DMEL_Drosophila_melanogaster_DME_NP_001096955.1	PTHR23119
OG0000172_HSAP_Homo_sapiens_HSA_NP_001091894.1	PTHR23119
OG0000172_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_004577-T1	PTHR23119
OG0000173_DMEL_Drosophila_melanogaster_DME_NP_001033853.1	PTHR23055
OG0000173_HSAP_Homo_sapiens_HSA_NP_001035714.1	PTHR23055
OG0000173_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_012096-T1	PTHR23055
OG0000178_DMEL_Drosophila_melanogaster_DME_NP_001245974.1	PTHR10974
OG0000178_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000751-T1	PTHR10974
OG0000180_HSAP_Homo_sapiens_HSA_NP_055463.1	PTHR15727
OG0000182_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_002474-T1	PTHR33480
OG0000189_HSAP_Homo_sapiens_HSA_NP_000334.1	PTHR11819
OG0000189_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_022566-T1	PTHR11819
OG0000190_DMEL_Drosophila_melanogaster_DME_NP_001260876.1	PTHR19303
OG0000190_HSAP_Homo_sapiens_HSA_NP_001070995.2	PTHR19303
OG0000190_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_001545-T1	PTHR19303
OG0000197_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_016665-T1	PTHR47508
OG0000198_DMEL_Drosophila_melanogaster_DME_NP_001163687.1	PTHR15036
OG0000198_HSAP_Homo_sapiens_HSA_NP_001129131.1	PTHR15036
OG0000198_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_027476-T1	PTHR19846
OG0000204_HSAP_Homo_sapiens_HSA_NP_001116836.1	PTHR32026
OG0000204_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_007976-T1	PTHR32026
OG0000214_DMEL_Drosophila_melanogaster_DME_NP_001247212.1	PTHR11878
OG0000214_HSAP_Homo_sapiens_HSA_NP_001106271.1	PTHR11878
OG0000214_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_006076-T1	PTHR11878
OG0000215_DMEL_Drosophila_melanogaster_DME_NP_001036619.1	PTHR10288
OG0000215_HSAP_Homo_sapiens_HSA_NP_001092090.1	PTHR10288
OG0000215_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_011873-T1	PTHR10288
OG0000221_DMEL_Drosophila_melanogaster_DME_NP_001262586.1	PTHR19375
OG0000221_HSAP_Homo_sapiens_HSA_NP_002146.2	PTHR19375
OG0000221_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_004727-T1	PTHR19375
OG0000226_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_025863-T1	PTHR11505
OG0000233_DMEL_Drosophila_melanogaster_DME_NP_001097608.1	PTHR12191
OG0000233_HSAP_Homo_sapiens_HSA_NP_001092876.1	PTHR12191
OG0000233_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_003064-T1	PTHR12191
OG0000238_DMEL_Drosophila_melanogaster_DME_NP_001137915.1	PTHR12546
OG0000238_HSAP_Homo_sapiens_HSA_NP_001034201.2	PTHR12546
OG0000238_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000642-T1	PTHR12546
OG0000244_DMEL_Drosophila_melanogaster_DME_NP_001014496.1	PTHR45627
OG0000244_HSAP_Homo_sapiens_HSA_NP_001105.1	PTHR45627
OG0000244_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_003816-T1	PTHR45627
OG0000256_DMEL_Drosophila_melanogaster_DME_NP_001014577.1	PTHR10985
OG0000256_HSAP_Homo_sapiens_HSA_NP_001010926.1	PTHR10985
OG0000256_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_005796-T1	PTHR10985
OG0000257_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_014805-T1	PTHR10725
OG0000261_DMEL_Drosophila_melanogaster_DME_NP_001260884.1	PTHR23248
OG0000261_HSAP_Homo_sapiens_HSA_NP_001078889.1	PTHR23248
OG0000261_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_018038-T1	PTHR23248
OG0000263_DMEL_Drosophila_melanogaster_DME_NP_001163092.1	PTHR23255
OG0000263_HSAP_Homo_sapiens_HSA_NP_000011.2	PTHR23255
OG0000263_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_006485-T1	PTHR23255
OG0000265_DMEL_Drosophila_melanogaster_DME_NP_001036577.2	PTHR13817
OG0000265_HSAP_Homo_sapiens_HSA_NP_001129412.1	PTHR42757
OG0000265_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_020452-T3	PTHR42757
OG0000273_DMEL_Drosophila_melanogaster_DME_NP_001137657.1	PTHR11915
OG0000273_HSAP_Homo_sapiens_HSA_NP_000436.2	PTHR23169
OG0000273_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_015802-T1	PTHR23169
OG0000274_DMEL_Drosophila_melanogaster_DME_NP_001245762.1	PTHR24072
OG0000274_HSAP_Homo_sapiens_HSA_NP_001034891.1	PTHR24072
OG0000274_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_009514-T1	PTHR24072
OG0000276_HSAP_Homo_sapiens_HSA_NP_000688.2	PTHR11771
OG0000276_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_009733-T1	PTHR11771
OG0000286_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_021961-T1	PTHR21301
OG0000287_HSAP_Homo_sapiens_HSA_NP_001185792.1	PTHR10857
OG0000287_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_005971-T1	PTHR10857
OG0000294_DMEL_Drosophila_melanogaster_DME_NP_001188814.1	PTHR12242
OG0000294_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_010830-T1	PTHR12242
OG0000296_DMEL_Drosophila_melanogaster_DME_NP_001247193.1	PTHR24044
OG0000296_HSAP_Homo_sapiens_HSA_NP_000205.1	PTHR24044
OG0000296_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000027-T1	PTHR12916
OG0000302_DMEL_Drosophila_melanogaster_DME_NP_001036254.1	PTHR23167
OG0000302_HSAP_Homo_sapiens_HSA_NP_001099035.2	PTHR23167
OG0000302_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_008032-T1	PTHR23167
OG0000307_DMEL_Drosophila_melanogaster_DME_NP_001246698.1	PTHR23302
OG0000307_HSAP_Homo_sapiens_HSA_NP_001074001.1	PTHR23302
OG0000307_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_005369-T1	PTHR23302
OG0000310_DMEL_Drosophila_melanogaster_DME_NP_001163084.1	PTHR11932
OG0000310_HSAP_Homo_sapiens_HSA_NP_001008895.1	PTHR11932
OG0000310_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_019405-T1	PTHR11932
OG0000311_DMEL_Drosophila_melanogaster_DME_NP_001096862.1	PTHR21461
OG0000311_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_001262-T1	PTHR21461
OG0000322_DMEL_Drosophila_melanogaster_DME_NP_001027190.1	PTHR10071
OG0000322_HSAP_Homo_sapiens_HSA_NP_001002295.1	PTHR10071
OG0000322_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_003196-T1	PTHR47341
OG0000325_HSAP_Homo_sapiens_HSA_NP_001002294.1	PTHR23023
OG0000325_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_001642-T1	PTHR23023
OG0000338_DMEL_Drosophila_melanogaster_DME_NP_001097350.1	PTHR24356
OG0000338_HSAP_Homo_sapiens_HSA_NP_001229342.1	PTHR24356
OG0000338_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_028429-T1	PTHR24351
OG0000344_HSAP_Homo_sapiens_HSA_NP_001014986.1	PTHR10404
OG0000344_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_008777-T1	PTHR10404
OG0000345_DMEL_Drosophila_melanogaster_DME_NP_523702.1	PTHR11256
OG0000345_HSAP_Homo_sapiens_HSA_NP_000624.2	PTHR11256
OG0000345_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_028032-T1	PTHR11256
OG0000356_DMEL_Drosophila_melanogaster_DME_NP_001097884.1	PTHR11767
OG0000356_HSAP_Homo_sapiens_HSA_NP_000211.1	PTHR11767
OG0000356_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_012442-T1	PTHR11767
OG0000357_DMEL_Drosophila_melanogaster_DME_NP_001162723.1	PTHR24342
OG0000357_HSAP_Homo_sapiens_HSA_NP_001012418.2	PTHR24347
OG0000357_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_008133-T1	PTHR47633
OG0000359_DMEL_Drosophila_melanogaster_DME_NP_001163513.1	PTHR11034
OG0000359_HSAP_Homo_sapiens_HSA_NP_001123959.1	PTHR11034
OG0000359_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_010678-T1	PTHR11034
OG0000362_DMEL_Drosophila_melanogaster_DME_NP_611469.1	PTHR10166
OG0000362_HSAP_Homo_sapiens_HSA_NP_001280203.1	PTHR10166
OG0000362_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_008459-T1	PTHR34306
OG0000367_DMEL_Drosophila_melanogaster_DME_NP_001261921.1	PTHR10157
OG0000367_HSAP_Homo_sapiens_HSA_NP_000778.3	PTHR10157
OG0000367_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_029712-T1	PTHR10157
OG0000376_DMEL_Drosophila_melanogaster_DME_NP_001286718.1	PTHR45080
OG0000376_HSAP_Homo_sapiens_HSA_NP_075556.1	PTHR47243
OG0000379_DMEL_Drosophila_melanogaster_DME_NP_001033821.1	PTHR10910
OG0000379_HSAP_Homo_sapiens_HSA_NP_001020278.1	PTHR10910
OG0000379_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_029965-T1	PTHR10910
OG0000390_HSAP_Homo_sapiens_HSA_NP_001032412.2	PTHR43788
OG0000390_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_013050-T1	PTHR43788
OG0000400_DMEL_Drosophila_melanogaster_DME_NP_001260707.1	PTHR10615
OG0000400_HSAP_Homo_sapiens_HSA_NP_001128627.1	PTHR10615
OG0000400_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_009554-T1	PTHR10615
OG0000407_DMEL_Drosophila_melanogaster_DME_NP_001260588.1	PTHR13944
OG0000407_HSAP_Homo_sapiens_HSA_NP_001073948.2	PTHR13944
OG0000407_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_021010-T1	PTHR13944
OG0000414_HSAP_Homo_sapiens_HSA_NP_000143.2	PTHR22762
OG0000414_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_004297-T1	PTHR22762
OG0000425_DMEL_Drosophila_melanogaster_DME_NP_001096983.2	PTHR13008
OG0000425_HSAP_Homo_sapiens_HSA_NP_001129415.1	PTHR13008
OG0000425_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_014053-T3	PTHR13008
OG0000434_DMEL_Drosophila_melanogaster_DME_NP_001036366.2	PTHR18916
OG0000434_HSAP_Homo_sapiens_HSA_NP_001186499.1	PTHR18916
OG0000434_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_009388-T1	PTHR18916
OG0000435_DMEL_Drosophila_melanogaster_DME_NP_001260189.1	PTHR46256
OG0000435_HSAP_Homo_sapiens_HSA_NP_001077084.2	PTHR13140
OG0000435_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_026784-T1	PTHR13140
OG0000440_DMEL_Drosophila_melanogaster_DME_NP_001163569.1	PTHR45734
OG0000440_HSAP_Homo_sapiens_HSA_NP_001294951.1	PTHR45734
OG0000440_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_032436-T1	PTHR45734
OG0000446_DMEL_Drosophila_melanogaster_DME_NP_001036444.1	PTHR10372
OG0000446_HSAP_Homo_sapiens_HSA_NP_001005476.1	PTHR10372
OG0000446_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_006576-T1	PTHR10372
OG0000453_DMEL_Drosophila_melanogaster_DME_NP_001163124.1	PTHR11886
OG0000453_HSAP_Homo_sapiens_HSA_NP_001032583.1	PTHR11886
OG0000453_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_015091-T1	PTHR11886
OG0000455_DMEL_Drosophila_melanogaster_DME_NP_001260325.1	PTHR45624
OG0000455_HSAP_Homo_sapiens_HSA_NP_000378.1	PTHR45624
OG0000455_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_012551-T1	PTHR45624
OG0000457_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000677-T1	PTHR34415
OG0000463_DMEL_Drosophila_melanogaster_DME_NP_001137750.1	PTHR24215
OG0000463_HSAP_Homo_sapiens_HSA_NP_001180499.1	PTHR24215
OG0000463_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_014396-T1	PTHR24215
OG0000470_DMEL_Drosophila_melanogaster_DME_NP_001162885.1	PTHR47535
OG0000470_HSAP_Homo_sapiens_HSA_NP_001334630.1	PTHR14514
OG0000470_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_036818-T1	PTHR14514
OG0000472_DMEL_Drosophila_melanogaster_DME_NP_001033850.2	PTHR11532
OG0000472_HSAP_Homo_sapiens_HSA_NP_001005502.1	PTHR11532
OG0000472_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_002449-T1	PTHR11532
OG0000473_HSAP_Homo_sapiens_HSA_NP_619639.3	PTHR46769
OG0000473_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_003430-T1	PTHR46769
OG0000474_DMEL_Drosophila_melanogaster_DME_NP_001104417.3	PTHR21113
OG0000474_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_001013-T1	PTHR21113
OG0000482_DMEL_Drosophila_melanogaster_DME_NP_573024.1	PTHR10361
OG0000482_HSAP_Homo_sapiens_HSA_NP_000443.1	PTHR10361
OG0000482_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_007659-T1	PTHR10361
OG0000483_DMEL_Drosophila_melanogaster_DME_NP_001163396.1	PTHR11022
OG0000483_HSAP_Homo_sapiens_HSA_NP_005082.1	PTHR11022
OG0000483_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000617-T1	PTHR11022
OG0000485_DMEL_Drosophila_melanogaster_DME_NP_001097163.3	PTHR10166
OG0000485_HSAP_Homo_sapiens_HSA_NP_000713.2	PTHR10166
OG0000485_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_017323-T1	PTHR10166
OG0000492_DMEL_Drosophila_melanogaster_DME_NP_001285094.1	PTHR45867
OG0000492_HSAP_Homo_sapiens_HSA_NP_001004318.2	PTHR45867
OG0000492_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_006658-T1	PTHR45867
OG0000493_DMEL_Drosophila_melanogaster_DME_NP_001036401.1	PTHR11923
OG0000493_HSAP_Homo_sapiens_HSA_NP_000063.2	PTHR11923
OG0000493_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_016480-T1	PTHR11923
OG0000501_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_004684-T1	PTHR24115
OG0000506_DMEL_Drosophila_melanogaster_DME_NP_476962.1	PTHR24416
OG0000506_HSAP_Homo_sapiens_HSA_NP_001007157.1	PTHR24416
OG0000506_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_014846-T1	PTHR24416
OG0000529_DMEL_Drosophila_melanogaster_DME_NP_001286350.1	PTHR22600
OG0000529_HSAP_Homo_sapiens_HSA_NP_000511.2	PTHR22600
OG0000529_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_000805-T1	PTHR22600
OG0000538_DMEL_Drosophila_melanogaster_DME_NP_001262397.1	PTHR23042
OG0000538_HSAP_Homo_sapiens_HSA_NP_001025443.1	PTHR23042
OG0000538_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_015660-T1	PTHR23042
OG0000559_DMEL_Drosophila_melanogaster_DME_NP_001097012.1	PTHR10194
OG0000559_HSAP_Homo_sapiens_HSA_NP_001123538.1	PTHR10194
OG0000559_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_011780-T1	PTHR10194
OG0000564_DMEL_Drosophila_melanogaster_DME_NP_001188890.1	PTHR13196
OG0000564_HSAP_Homo_sapiens_HSA_NP_001182144.1	PTHR13196
OG0000564_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_016851-T1	PTHR15288
OG0000584_DMEL_Drosophila_melanogaster_DME_NP_001097219.1	PTHR11255
OG0000584_HSAP_Homo_sapiens_HSA_NP_001074213.1	PTHR11255
OG0000584_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_001179-T1	PTHR11255
OG0000589_DMEL_Drosophila_melanogaster_DME_NP_001014584.1	PTHR13710
OG0000589_HSAP_Homo_sapiens_HSA_NP_000048.1	PTHR13710
OG0000589_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_022127-T1	PTHR13710
OG0000591_DMEL_Drosophila_melanogaster_DME_NP_001259461.1	PTHR24410
OG0000591_HSAP_Homo_sapiens_HSA_NP_001073935.1	PTHR24410
OG0000591_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_030034-T1	PTHR24410
OG0000602_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_024251-T1	PTHR18945
OG0000607_DMEL_Drosophila_melanogaster_DME_NP_001163350.1	PTHR24012
OG0000607_HSAP_Homo_sapiens_HSA_NP_001003792.1	PTHR24012
OG0000607_LLUY_Lamellibrachia_luymsi_proteins_LLU_FUN_033508-T1	PTHR24012
